UNITID,OPEID,INSTNM,CITY,Year,UGDS,MAIN,NUMBRANCH,HIGHDEG,REGION,LOCALE,LOCALE2,CCSIZSET,PCTPELL,AVGFACSAL,PFTFAC,PRGMOFR,BOOKSUPPLY,ROOMBOARD_ON,ROOMBOARD_OFF,OTHEREXPENSE_ON,OTHEREXPENSE_OFF,ADMCON7,MDCOST_ALL,MDEARN_ALL,UGDS_WOMEN,UGDS_MEN,ADM_RATE,SAT_AVG,ACTCMMID,RET_FT4,C150_4,MD_EARN_WNE_P10,TUITIONFEE_IN,TUITIONFEE_OUT,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,OPENADMP,won,lost,tied,notes,win_percentage
178396,00251600,University of Missouri-Columbia,Columbia,1996,16778.0,1,1,4,4,,,,,6482.0,,,,,,,,,,,0.5271,0.4729,,,,,,,,,,,,,,5.0,6.0,,,0.45454545454545453
180461,00253200,Montana State University,Bozeman,1996,10432.0,1,1,4,7,,,,,5167.0,,,,,,,,,,,0.4426,0.5574,,,,,,,,,,,,,,14.0,1.0,,(I-AA play not counted),0.9333333333333333
180461,00253200,Montana State University,Bozeman,1996,10432.0,1,1,4,7,,,,,5167.0,,,,,,,,,,,0.4426,0.5574,,,,,,,,,,,,,,6.0,5.0,,(I-AA play not counted),0.5454545454545454
181464,00256500,University of Nebraska-Lincoln,Lincoln,1996,18851.0,1,2,4,4,,,,,6338.0,,,,,,,,,,,0.4632,0.5368,,,,,,,,,,,,,,11.0,2.0,,,0.8461538461538461
182281,00256900,University of Nevada-Las Vegas,Las Vegas,1996,13831.0,1,1,4,8,,,,,5880.0,,,,,,,,,,,0.5302,0.4698,,,,,,,,,,,,,,1.0,11.0,,,0.08333333333333333
182290,00256800,University of Nevada-Reno,Reno,1996,8353.0,1,1,4,8,,,,,6493.0,,,,,,,,,,,0.5214,0.4786,,,,,,,,,,,,,,9.0,3.0,,,0.75
182670,00257300,Dartmouth College,Hanover,1996,3848.0,1,1,4,1,,,,,7534.0,,,,,,,,,,,0.4782,0.5218,,,,,,,,,,,,,,10.0,0.0,,(I-AA play not counted),1.0
186131,00262700,Princeton University,Princeton,1996,4593.0,1,1,4,2,,,,,9217.0,,,,,,,,,,,0.4627,0.5373,,,,,,,,,,,,,,3.0,7.0,,(I-AA play not counted),0.3
186380,00262903,Rutgers University-New Brunswick,New Brunswick,1996,25157.0,0,3,4,2,,,,,7718.0,,,,,,,,,,,0.5334,0.4666,,,,,,,,,,,,,,2.0,9.0,,,0.18181818181818182
188030,00265700,New Mexico State University-Main Campus,Las Cruces,1996,10824.0,1,5,4,6,,,,,5300.0,,,,,,,,,,,0.5136,0.4864,,,,,,,,,,,,,,6.0,5.0,,,0.5454545454545454
188030,00265700,New Mexico State University-Main Campus,Las Cruces,1996,10824.0,1,5,4,6,,,,,5300.0,,,,,,,,,,,0.5136,0.4864,,,,,,,,,,,,,,1.0,10.0,,,0.09090909090909091
190099,00270100,Colgate University,Hamilton,1996,2849.0,1,1,4,2,,,,,6959.0,,,,,,,,,,,0.5005,0.4995,,,,,,,,,,,,,,6.0,5.0,,(I-AA play not counted),0.5454545454545454
190415,002711A1,Cornell University,Ithaca,1996,8228.0,0,2,4,2,,,,,7616.0,,,,,,,,,,,0.4172,0.5828,,,,,,,,,,,,,,4.0,6.0,,(I-AA play not counted),0.4
191241,00272200,Fordham University,Bronx,1996,5478.0,1,1,4,2,,,,,7174.0,,,,,,,,,,,0.5853,0.4147,,,,,,,,,,,,,,2.0,8.0,,(I-AA play not counted),0.2
196088,00283700,University at Buffalo,Buffalo,1996,14820.0,1,1,4,2,,,,,6959.0,,,,,,,,,,,0.4495,0.5505,,,,,,,,,,,,,,8.0,3.0,,(I-AA Play not counted),0.7272727272727273
196413,00288200,Syracuse University,Syracuse,1996,11305.0,1,1,4,2,,,,,6288.0,,,,,,,,,,,0.5312,0.4688,,,,,,,,,,,,,,9.0,3.0,,,0.75
198385,00291800,Davidson College,Davidson,1996,1600.0,1,1,3,5,,,,,6157.0,,,,,,,,,,,0.4856,0.5144,,,,,,,,,,,,,,6.0,4.0,,(I-AA play not counted),0.6
198419,00292000,Duke University,Durham,1996,6208.0,1,1,4,5,,,,,6828.0,,,,,,,,,,,0.4858,0.5142,,,,,,,,,,,,,,0.0,11.0,,,0.0
198464,00292300,East Carolina University,Greenville,1996,14361.0,1,1,4,5,,,,,5188.0,,,,,,,,,,,0.5779,0.4221,,,,,,,,,,,,,,8.0,3.0,,,0.7272727272727273
199193,00297200,North Carolina State University at Raleigh,Raleigh,1996,19026.0,1,1,4,5,,,,,6566.0,,,,,,,,,,,0.394,0.606,,,,,,,,,,,,,,10.0,2.0,,,0.8333333333333334
199193,00297200,North Carolina State University at Raleigh,Raleigh,1996,19026.0,1,1,4,5,,,,,6566.0,,,,,,,,,,,0.394,0.606,,,,,,,,,,,,,,3.0,8.0,,,0.2727272727272727
199847,00297800,Wake Forest University,Winston-Salem,1996,3730.0,1,1,4,5,,,,,6642.0,,,,,,,,,,,0.4957,0.5043,,,,,,,,,,,,,,3.0,8.0,,,0.2727272727272727
200800,00312300,University of Akron Main Campus,Akron,1996,16820.0,1,2,4,3,,,,,5768.0,,,,,,,,,,,0.5356,0.4644,,,,,,,,,,,,,1.0,4.0,7.0,,,0.36363636363636365
201441,00301800,Bowling Green State University-Main Campus,Bowling Green,1996,14435.0,1,2,4,3,,,,,5706.0,,,,,,,,,,,0.5711,0.4289,,,,,,,,,,,,,,4.0,7.0,,,0.36363636363636365
